Year,ICD_10,Sex,Race,Age_Group,Deaths,Population,Crude Rate,CI_Lower_95,CI_Upper_95,is_recent_release
2019,C22,,A,,3290.0,39009724.0,8.43,,,1
2019,C22,,,45-54,2976.0,81749804.0,3.64,,,1
2019,K76,,,65-74,2542.0,31483433.0,8.07,7.76,8.39,1
2019,K76,,,55-64,1911.0,42448537.0,4.5,4.3,4.7,1
2019,K76,,,75-84,1617.0,15969872.0,10.13,9.63,10.62,1
2019,K75,,,,857.0,328239523.0,0.26,0.24,0.28,1
2019,K76,,,45-54,850.0,40874902.0,2.08,1.94,2.22,1
2019,K75,,2106-3,,690.0,250522190.0,0.28,0.25,0.3,1
2019,C22,,,35-44,638.0,83318288.0,0.77,,,1
2019,K76,,,85+,599.0,6604958.0,9.07,8.34,9.8,1
2019,K76,,2054-5,,565.0,44075086.0,1.28,1.18,1.39,1
2019,K75,F,,,554.0,166582199.0,0.33,0.30,0.36,1
2019,C22,,1002-5,,528.0,8376184.0,6.3,,,1
2019,C22,,M,,332.0,18284712.0,1.82,,,1
2019,K75,M,,,303.0,161657324.0,0.19,0.17,0.21,1
2019,K76,,,35-44,291.0,41659144.0,0.7,0.62,0.78,1
2019,K75,,,65-74,263.0,31483433.0,0.84,0.73,0.94,1
2019,C22,,,25-34,224.0,91880642.0,0.24,,,1
2019,K75,,,75-84,213.0,15969872.0,1.33,1.15,1.51,1
2019,K76,,1002-5,,161.0,4188092.0,3.84,3.25,4.44,1
2019,K75,,,55-64,137.0,42448537.0,0.32,0.27,0.38,1
2019,C22,,NHOPI,,134.0,1613874.0,8.3,,,1
2019,K76,,A,,132.0,19504862.0,0.68,0.56,0.79,1
2019,K75,,2054-5,,125.0,44075086.0,0.28,0.23,0.33,1
2019,K76,,,25-34,119.0,45940321.0,0.26,0.21,0.31,1
2019,K75,,,85+,95.0,6604958.0,1.44,1.16,1.76,1
2019,K75,,,45-54,75.0,40874902.0,0.18,0.14,0.23,1
2019,C22,,,15-24,70.0,85375020.0,0.08,,,1
2019,K76,,M,,54.0,9142356.0,0.59,0.44,0.77,1
2019,K75,,,35-44,45.0,41659144.0,0.11,0.08,0.14,1
2019,C22,,,1-4,30.0,31587262.0,0.09,,,1
2019,K75,,A,,30.0,19504862.0,0.15,0.1,0.22,1
2019,K76,,,15-24,19.0,42687510.0,0.04,0.03,0.07,1
2019,K75,,,25-34,18.0,45940321.0,0.04,0.02,0.06,1
2019,K76,,,1,14.0,3783052.0,0.37,0.2,0.62,1
2019,K76,,NHOPI,,11.0,806937.0,1.36,0.68,2.44,1
2019,C22,,,1,0.0,7566104.0,Suppressed,,,1
2019,C22,,,5-14,0.0,81988326.0,Suppressed,,,1
2019,C22,,,NS,0.0,0.0,Not Applicable,,,1
2019,K75,,,1-4,0.0,15793631.0,Suppressed,Suppressed,Suppressed,1
2019,K75,,,15-24,0.0,42687510.0,Suppressed,Suppressed,Suppressed,1
2019,K75,,,5-14,0.0,40994163.0,Suppressed,Suppressed,Suppressed,1
2019,K75,,1002-5,,0.0,4188092.0,Suppressed,Suppressed,Suppressed,1
2019,K75,,M,,0.0,9142356.0,Suppressed,Suppressed,Suppressed,1
2019,K75,,NHOPI,,0.0,806937.0,Suppressed,Suppressed,Suppressed,1
2019,K76,,,14-May,0.0,40994163.0,Suppressed,Suppressed,Suppressed,1
2019,K76,,,4-Jan,0.0,15793631.0,Suppressed,Suppressed,Suppressed,1
2019,C22,,A-PI,,3788.0,65444172.0,8.68,,,0
2019,K76,,A-PI,,156.0,21814724.0,0.72,,,0
2019,K75,,A-PI,,32.0,21814724.0,0.15,,,0
2019,C22,,,4-Jan,30.0,31587262.0,Unreliable,,,0
2019,C22,,,14-May,0.0,81988326.0,Suppressed,,,0
2019,K75,,,14-May,0.0,40994163.0,Suppressed,,,0
2019,K75,,,4-Jan,0.0,15793631.0,Suppressed,,,0
2020,C22,,,,56454.0,658968246.0,8.57,,,1
2020,C22,,2106-3,,44914.0,500619448.0,8.97,,,1
2020,C22,M,,,37272.0,324512404.0,11.49,,,1
2020,C22,,,65-74,19976.0,65098796.0,30.69,,,1
2020,C22,F,,,19182.0,334455842.0,5.74,,,1
2020,C22,,,55-64,13612.0,84807354.0,16.05,,,1
2020,C22,,,75-84,13182.0,32903094.0,40.06,,,1
2020,K76,,,,8458.0,329484123.0,2.57,2.51,2.62,1
2020,K76,,2106-3,,7507.0,250309724.0,3,2.93,3.07,1
2020,C22,,2054-5,,7168.0,89062224.0,8.05,,,1
2020,C22,,,85+,5858.0,13316840.0,43.99,,,1
2020,K76,F,,,4396.0,167227921.0,2.63,2.55,2.71,1
2020,K76,M,,,4062.0,162256202.0,2.50,2.43,2.58,1
2020,C22,,A,,3250.0,40024556.0,8.12,,,1
2020,C22,,,45-54,2848.0,80732266.0,3.53,,,1
2020,K76,,,65-74,2680.0,32549398.0,8.23,7.92,8.55,1
2020,K76,,,55-64,1999.0,42403677.0,4.71,4.51,4.92,1
2020,K76,,,75-84,1714.0,16451547.0,10.42,9.93,10.91,1
2020,K75,,,,955.0,329484123.0,0.29,0.27,0.31,1
2020,K76,,,45-54,869.0,40366133.0,2.15,2.01,2.3,1
2020,K75,,2106-3,,756.0,250309724.0,0.3,0.28,0.32,1
2020,K76,,,85+,643.0,6658420.0,9.66,8.91,10.4,1
2020,C22,,,35-44,642.0,84272384.0,0.76,,,1
2020,K75,F,,,604.0,167227921.0,0.36,0.33,0.39,1
2020,K76,,2054-5,,572.0,44531112.0,1.28,1.18,1.39,1
2020,C22,,1002-5,,570.0,8585980.0,6.64,,,1
2020,C22,,M,,410.0,18988652.0,2.16,,,1
2020,K76,,,35-44,358.0,42136192.0,0.85,0.76,0.94,1
2020,K75,M,,,351.0,162256202.0,0.22,0.19,0.24,1
2020,K75,,,65-74,255.0,32549398.0,0.78,0.69,0.88,1
2020,K75,,,75-84,225.0,16451547.0,1.37,1.19,1.55,1
2020,K75,,,55-64,200.0,42403677.0,0.47,0.41,0.54,1
2020,C22,,,25-34,194.0,92139292.0,0.21,,,1
2020,K76,,1002-5,,165.0,4292990.0,3.84,3.26,4.43,1
2020,K76,,A,,160.0,20012278.0,0.8,0.68,0.92,1
2020,K76,,,25-34,151.0,46069646.0,0.33,0.28,0.38,1
2020,C22,,NHOPI,,142.0,1687386.0,8.42,,,1
2020,K75,,2054-5,,139.0,44531112.0,0.31,0.26,0.36,1
2020,K75,,,85+,108.0,6658420.0,1.62,1.32,1.93,1
2020,K75,,,45-54,87.0,40366133.0,0.22,0.17,0.27,1
2020,C22,,,15-24,76.0,85111368.0,0.09,,,1
2020,K76,,M,,44.0,9494326.0,0.46,0.34,0.62,1
2020,K75,,A,,41.0,20012278.0,0.2,0.15,0.28,1
2020,K75,,,25-34,32.0,46069646.0,0.07,0.05,0.10,1
2020,C22,,,1-4,30.0,31132564.0,0.10,,,1
2020,K75,,,35-44,29.0,42136192.0,0.07,0.05,0.10,1
2020,C22,,,5-14,28.0,81984268.0,0.03,,,1
2020,K76,,,15-24,23.0,42555684.0,0.05,0.03,0.08,1
2020,K75,,,15-24,15.0,42555684.0,0.04,0.02,0.06,1
2020,K75,,1002-5,,14.0,4292990.0,0.33,0.18,0.55,1
2020,K76,,,1,12.0,3735010.0,0.32,0.17,0.56,1
2020,K76,,NHOPI,,10.0,843693.0,1.19,0.57,2.18,1
2020,C22,,,1,0.0,7470020.0,Suppressed,,,1
2020,K75,,,1,0.0,3735010.0,Suppressed,Suppressed,Suppressed,1
2020,K75,,,5-14,0.0,40992134.0,Suppressed,Suppressed,Suppressed,1
2020,K75,,M,,0.0,9494326.0,Suppressed,Suppressed,Suppressed,1
2020,K75,,NHOPI,,0.0,843693.0,Suppressed,Suppressed,Suppressed,1
2020,K76,,,14-May,0.0,40992134.0,Suppressed,Suppressed,Suppressed,1
2020,K76,,,4-Jan,0.0,15566282.0,Suppressed,Suppressed,Suppressed,1
2020,C22,,A-PI,,3728.0,67241211.0,8.32,,,0
2020,K76,,A-PI,,178.0,22413737.0,0.79,,,0
2020,K75,,A-PI,,43.0,22413737.0,0.19,,,0
2020,C22,,,4-Jan,30.0,31132564.0,Unreliable,,,0
2020,C22,,,14-May,28.0,81984268.0,Unreliable,,,0
2020,K75,,,14-May,0.0,40992134.0,Suppressed,,,0
2021,C22,,,,57438.0,663787490.0,8.65,,,1
2021,C22,,2106-3,,45696.0,502923222.0,9.09,,,1
2021,C22,M,,,37656.0,328769484.0,11.45,,,1
2021,C22,,,65-74,21112.0,67332244.0,31.35,,,1
2021,C22,F,,,19782.0,335018006.0,5.9,,,1
2021,C22,,,75-84,13486.0,32412150.0,41.61,,,1
2021,C22,,,55-64,12976.0,85606128.0,15.16,,,1
2021,K76,,,,9084.0,331893745.0,2.74,2.68,2.79,1
2021,K76,,2106-3,,8076.0,251461611.0,3.21,3.14,3.28,1
2021,C22,,2054-5,,7118.0,90121714.0,7.9,,,1
2021,C22,,,85+,6028.0,11951512.0,50.44,,,1
2021,K76,F,,,4715.0,167509003.0,2.81,2.73,2.90,1
2021,K76,M,,,4369.0,164384742.0,2.66,2.58,2.74,1
2021,C22,,A,,3554.0,40700966.0,8.73,,,1
2021,K76,,,65-74,2867.0,33666122.0,8.52,8.2,8.83,1
2021,C22,,,45-54,2802.0,81376872.0,3.44,,,1
2021,K76,,,55-64,2023.0,42803064.0,4.73,4.52,4.93,1
2021,K76,,,75-84,1921.0,16206075.0,11.85,11.32,12.38,1
2021,K75,,,,985.0,331893745.0,0.30,0.28,0.32,1
2021,K76,,,45-54,978.0,40688436.0,2.4,2.25,2.55,1
2021,K75,,2106-3,,764.0,251461611.0,0.3,0.28,0.33,1
2021,C22,,,35-44,692.0,86807708.0,0.80,,,1
2021,K76,,,85+,659.0,5975756.0,11.03,10.19,11.87,1
2021,K75,F,,,625.0,167509003.0,0.37,0.34,0.40,1
2021,K76,,2054-5,,592.0,45060857.0,1.31,1.21,1.42,1
2021,C22,,1002-5,,578.0,8735080.0,6.62,,,1
2021,K76,,,35-44,436.0,43403854.0,1,0.91,1.1,1
2021,C22,,M,,370.0,19580422.0,1.89,,,1
2021,K75,M,,,360.0,164384742.0,0.22,0.20,0.24,1
2021,K75,,,65-74,284.0,33666122.0,0.84,0.75,0.94,1
2021,K75,,,75-84,247.0,16206075.0,1.52,1.33,1.71,1
2021,C22,,,25-34,216.0,90990210.0,0.24,,,1
2021,K76,,1002-5,,202.0,4367540.0,4.63,3.99,5.26,1
2021,K75,,,55-64,174.0,42803064.0,0.41,0.35,0.47,1
2021,K76,,A,,162.0,20350483.0,0.8,0.67,0.92,1
2021,K76,,,25-34,161.0,45495105.0,0.35,0.3,0.41,1
2021,K75,,2054-5,,154.0,45060857.0,0.34,0.29,0.4,1
2021,C22,,NHOPI,,122.0,1726086.0,7.07,,,1
2021,K75,,,85+,118.0,5975756.0,1.97,1.62,2.33,1
2021,K75,,,45-54,86.0,40688436.0,0.21,0.17,0.26,1
2021,C22,,,15-24,52.0,86177326.0,0.06,,,1
2021,K75,,,35-44,43.0,43403854.0,0.10,0.07,0.13,1
2021,K76,,M,,39.0,9790211.0,0.4,0.28,0.54,1
2021,C22,,,5-14,34.0,83478664.0,0.04,,,1
2021,K75,,A,,33.0,20350483.0,0.16,0.11,0.23,1
2021,C22,,,1-4,30.0,30525690.0,0.10,,,1
2021,K75,,1002-5,,27.0,4367540.0,0.62,0.41,0.9,1
2021,K75,,,25-34,25.0,45495105.0,0.05,0.04,0.08,1
2021,K76,,,15-24,24.0,43088663.0,0.06,0.04,0.08,1
2021,K76,,NHOPI,,13.0,863043.0,1.51,0.8,2.58,1
2021,K76,,,1,11.0,3564493.0,0.31,0.15,0.55,1
2021,C22,,,1,0.0,7128986.0,Suppressed,,,1
2021,C22,,,NS,0.0,0.0,Not Applicable,,,1
2021,K75,,,1,0.0,3564493.0,Suppressed,Suppressed,Suppressed,1
2021,K75,,,15-24,0.0,43088663.0,Suppressed,Suppressed,Suppressed,1
2021,K75,,,5-14,0.0,41739332.0,Suppressed,Suppressed,Suppressed,1
2021,K75,,M,,0.0,9790211.0,Suppressed,Suppressed,Suppressed,1
2021,K75,,NHOPI,,0.0,863043.0,Suppressed,Suppressed,Suppressed,1
2021,K76,,,14-May,0.0,41739332.0,Suppressed,Suppressed,Suppressed,1
2021,K76,,,4-Jan,0.0,15262845.0,Suppressed,Suppressed,Suppressed,1
2022,C22,,,,57874.0,666575114.0,8.68,,,1
2022,C22,,2106-3,,46302.0,503204348.0,9.2,,,1
2022,C22,M,,,37768.0,330567106.0,11.43,,,1
2022,C22,,,65-74,21384.0,67576878.0,31.64,,,1
2022,C22,F,,,20106.0,336008008.0,5.98,,,1
2022,C22,,,75-84,14474.0,35041090.0,41.31,,,1
2022,C22,,,55-64,12196.0,84170874.0,14.49,,,1
2022,K76,,,,8870.0,333287557.0,2.66,2.61,2.72,1
2022,K76,,2106-3,,7953.0,251602174.0,3.16,3.09,3.23,1
2022,C22,,2054-5,,7190.0,90799486.0,7.92,,,1
2022,C22,,,85+,6012.0,12971736.0,46.35,,,1
2022,K76,F,,,4718.0,168004004.0,2.81,2.73,2.89,1
2022,K76,M,,,4152.0,165283553.0,2.51,2.44,2.59,1
2022,C22,,A,,3348.0,41907882.0,7.99,,,1
2022,K76,,,65-74,2784.0,33788439.0,8.24,7.93,8.55,1
2022,C22,,,45-54,2708.0,80863290.0,3.35,,,1
2022,K76,,,75-84,2076.0,17520545.0,11.85,11.34,12.36,1
2022,K76,,,55-64,1923.0,42085437.0,4.57,4.37,4.77,1
2022,K75,,,,952.0,333287557.0,0.29,0.27,0.30,1
2022,K76,,,45-54,817.0,40431645.0,2.02,1.88,2.16,1
2022,K75,,2106-3,,754.0,251602174.0,0.3,0.28,0.32,1
2022,C22,,,35-44,746.0,87390730.0,0.85,,,1
2022,K76,,,85+,709.0,6485868.0,10.93,10.13,11.74,1
2022,K75,F,,,595.0,168004004.0,0.35,0.33,0.38,1
2022,K76,,2054-5,,569.0,45399743.0,1.25,1.15,1.36,1
2022,C22,,1002-5,,508.0,8764468.0,5.8,,,1
2022,C22,,M,,382.0,20141314.0,1.9,,,1
2022,K76,,,35-44,366.0,43695365.0,0.84,0.75,0.92,1
2022,K75,M,,,357.0,165283553.0,0.22,0.19,0.24,1
2022,K75,,,65-74,278.0,33788439.0,0.82,0.73,0.92,1
2022,K75,,,75-84,245.0,17520545.0,1.40,1.22,1.57,1
2022,C22,,,25-34,244.0,91002600.0,0.27,,,1
2022,K75,,,55-64,172.0,42085437.0,0.41,0.35,0.47,1
2022,K76,,A,,150.0,20953941.0,0.72,0.6,0.83,1
2022,K76,,,25-34,147.0,45501300.0,0.32,0.27,0.38,1
2022,C22,,NHOPI,,144.0,1757616.0,8.19,,,1
2022,K76,,1002-5,,143.0,4382234.0,3.26,2.73,3.8,1
2022,K75,,,85+,132.0,6485868.0,2.04,1.69,2.38,1
2022,K75,,2054-5,,131.0,45399743.0,0.29,0.24,0.34,1
2022,K75,,,45-54,62.0,40431645.0,0.15,0.12,0.20,1
2022,C22,,,15-24,52.0,88683142.0,0.06,,,1
2022,K75,,A,,52.0,20953941.0,0.25,0.19,0.33,1
2022,K76,,M,,45.0,10070657.0,0.45,0.33,0.6,1
2022,C22,,,5-14,32.0,81798068.0,0.04,,,1
2022,K75,,,35-44,31.0,43695365.0,0.07,0.05,0.10,1
2022,K76,,,15-24,25.0,44341571.0,0.06,0.04,0.08,1
2022,K75,,,25-34,20.0,45501300.0,0.04,0.03,0.07,1
2022,K75,,,15-24,10.0,44341571.0,0.02,0.01,0.04,1
2022,K76,,,14-May,10.0,40899034.0,0.02,0.01,0.04,1
2022,K76,,NHOPI,,10.0,878808.0,1.14,0.55,2.09,1
2022,C22,,,1,0.0,7366226.0,Suppressed,,,1
2022,C22,,,1-4,0.0,29710480.0,Suppressed,,,1
2022,K75,,,1,0.0,3683113.0,Suppressed,Suppressed,Suppressed,1
2022,K75,,,5-14,0.0,40899034.0,Suppressed,Suppressed,Suppressed,1
2022,K75,,1002-5,,0.0,4382234.0,Suppressed,Suppressed,Suppressed,1
2022,K75,,M,,0.0,10070657.0,Suppressed,Suppressed,Suppressed,1
2022,K75,,NHOPI,,0.0,878808.0,Suppressed,Suppressed,Suppressed,1
2022,K76,,,1,0.0,3683113.0,Suppressed,Suppressed,Suppressed,1
2022,K76,,,4-Jan,0.0,14855240.0,Suppressed,Suppressed,Suppressed,1
2023,C22,,,,59822.0,669829790.0,8.93,,,1
2023,C22,,2106-3,,47906.0,504131408.0,9.5,,,1
2023,C22,M,,,38802.0,331498800.0,11.71,,,1
2023,C22,,,65-74,22326.0,69370568.0,32.18,,,1
2023,C22,F,,,21020.0,338330990.0,6.21,,,1
2023,C22,,,75-84,15424.0,36736194.0,41.99,,,1
2023,C22,,,55-64,11912.0,83708822.0,14.23,,,1
2023,K76,,,,8987.0,334914895.0,2.68,2.63,2.74,1
2023,K76,,2106-3,,8044.0,252065704.0,3.19,3.12,3.26,1
2023,C22,,2054-5,,7364.0,91514866.0,8.05,,,1
2023,C22,,,85+,6420.0,12389960.0,51.82,,,1
2023,K76,F,,,4783.0,169165495.0,2.83,2.75,2.91,1
2023,K76,M,,,4204.0,165749400.0,2.54,2.46,2.61,1
2023,C22,,A,,3492.0,42773828.0,8.16,,,1
2023,K76,,,65-74,2842.0,34685284.0,8.19,7.89,8.49,1
2023,C22,,,45-54,2660.0,80987562.0,3.28,,,1
2023,K76,,,75-84,2237.0,18368097.0,12.18,11.67,12.68,1
2023,K76,,,55-64,1828.0,41854411.0,4.37,4.17,4.57,1
2023,K75,,,,928.0,334914895.0,0.28,0.26,0.29,1
2023,K76,,,45-54,826.0,40493781.0,2.04,1.9,2.18,1
2023,K76,,,85+,757.0,6194980.0,12.22,11.35,13.09,1
2023,C22,,,35-44,754.0,88781386.0,0.85,,,1
2023,K75,,2106-3,,736.0,252065704.0,0.29,0.27,0.31,1
2023,K75,F,,,601.0,169165495.0,0.36,0.33,0.38,1
2023,C22,,1002-5,,540.0,8972834.0,6.02,,,1
2023,K76,,2054-5,,527.0,45757433.0,1.15,1.05,1.25,1
2023,C22,,M,,414.0,20637224.0,2.01,,,1
2023,K76,,,35-44,332.0,44390693.0,0.75,0.67,0.83,1
2023,K75,M,,,327.0,165749400.0,0.20,0.18,0.22,1
2023,K75,,,65-74,238.0,34685284.0,0.69,0.60,0.77,1
2023,K75,,,75-84,231.0,18368097.0,1.26,1.10,1.42,1
2023,K76,,A,,199.0,21386914.0,0.93,0.8,1.06,1
2023,C22,,,25-34,194.0,91085032.0,0.21,,,1
2023,K75,,,55-64,166.0,41854411.0,0.40,0.34,0.46,1
2023,K76,,1002-5,,156.0,4486417.0,3.48,2.93,4.02,1
2023,K75,,,85+,126.0,6194980.0,2.03,1.68,2.39,1
2023,K76,,,25-34,125.0,45542516.0,0.27,0.23,0.32,1
2023,K75,,2054-5,,122.0,45757433.0,0.27,0.22,0.31,1
2023,C22,,NHOPI,,106.0,1799630.0,5.89,,,1
2023,K75,,,45-54,79.0,40493781.0,0.20,0.15,0.24,1
2023,C22,,,15-24,64.0,87773304.0,0.07,,,1
2023,K75,,,35-44,49.0,44390693.0,0.11,0.08,0.15,1
2023,K76,,M,,48.0,10318612.0,0.47,0.34,0.62,1
2023,K75,,A,,35.0,21386914.0,0.16,0.11,0.23,1
2023,K75,,,25-34,32.0,45542516.0,0.07,0.05,0.10,1
2023,C22,,,5-14,30.0,81974642.0,0.04,,,1
2023,C22,,,1-4,28.0,29725012.0,0.09,,,1
2023,K75,,1002-5,,21.0,4486417.0,0.47,0.29,0.72,1
2023,K76,,,15-24,17.0,43886652.0,0.04,0.02,0.06,1
2023,K76,,,1,14.0,3648654.0,0.38,0.21,0.64,1
2023,K76,,NHOPI,,13.0,899815.0,1.44,0.77,2.47,1
2023,C22,,,1,0.0,7297308.0,Suppressed,,,1
2023,K75,,,15-24,0.0,43886652.0,Suppressed,Suppressed,Suppressed,1
2023,K75,,M,,0.0,10318612.0,Suppressed,Suppressed,Suppressed,1
2023,K75,,NHOPI,,0.0,899815.0,Suppressed,Suppressed,Suppressed,1
2023,K76,,,14-May,0.0,40987321.0,Suppressed,Suppressed,Suppressed,1
2023,K76,,,4-Jan,0.0,14862506.0,Suppressed,Suppressed,Suppressed,1
2024,C22,,,,61064.0,680221976.0,8.98,,,1
2024,C22,,2106-3,,48896.0,508563196.0,9.61,,,1
2024,C22,M,,,39310.0,336675764.0,11.68,,,1
2024,C22,,,65-74,22504.0,70889924.0,31.74,,,1
2024,C22,F,,,21754.0,343546212.0,6.33,,,1
2024,C22,,,75-84,16884.0,38599626.0,43.74,,,1
2024,C22,,,55-64,11120.0,83323450.0,13.35,,,1
2024,K76,,,,8208.0,340110988.0,2.41,2.36,2.47,1
2024,C22,,2054-5,,7414.0,93217692.0,7.95,,,1
2024,K76,,2106-3,,7373.0,254281598.0,2.9,2.83,2.97,1
2024,C22,,,85+,6768.0,12870286.0,52.59,,,1
2024,K76,F,,,4433.0,171773106.0,2.58,2.50,2.66,1
2024,K76,M,,,3775.0,168337882.0,2.24,2.17,2.31,1
2024,C22,,A,,3622.0,45650016.0,7.93,,,1
2024,C22,,,45-54,2690.0,81560712.0,3.30,,,1
2024,K76,,,65-74,2634.0,35444962.0,7.43,7.15,7.72,1
2024,K76,,,75-84,2129.0,19299813.0,11.03,10.56,11.5,1
2024,K76,,,55-64,1580.0,41661725.0,3.79,3.61,3.98,1
2024,K75,,,,961.0,340110988.0,0.28,0.26,0.30,1
2024,K75,,2106-3,,771.0,254281598.0,0.3,0.28,0.32,1
2024,C22,,,35-44,748.0,91078448.0,0.82,,,1
2024,K76,,,85+,730.0,6435143.0,11.34,10.52,12.17,1
2024,K76,,,45-54,647.0,40780356.0,1.59,1.46,1.71,1
2024,K75,F,,,601.0,171773106.0,0.35,0.32,0.38,1
2024,C22,,1002-5,,560.0,9486596.0,5.9,,,1
2024,K76,,2054-5,,471.0,46608846.0,1.01,0.92,1.1,1
2024,C22,,M,,448.0,21425052.0,2.09,,,1
2024,K75,M,,,360.0,168337882.0,0.21,0.19,0.24,1
2024,K76,,,35-44,335.0,45539224.0,0.74,0.66,0.81,1
2024,K75,,,65-74,265.0,35444962.0,0.75,0.66,0.84,1
2024,K75,,,75-84,248.0,19299813.0,1.28,1.13,1.44,1
2024,C22,,,25-34,222.0,92907728.0,0.24,,,1
2024,K75,,,55-64,178.0,41661725.0,0.43,0.36,0.49,1
2024,K76,,A,,168.0,22825008.0,0.74,0.62,0.85,1
2024,K76,,1002-5,,132.0,4743298.0,2.78,2.31,3.26,1
2024,C22,,NHOPI,,124.0,1879424.0,6.6,,,1
2024,K75,,,85+,123.0,6435143.0,1.91,1.57,2.25,1
2024,K75,,2054-5,,117.0,46608846.0,0.25,0.21,0.3,1
2024,K76,,,25-34,110.0,46453864.0,0.24,0.19,0.28,1
2024,C22,,,15-24,72.0,89595522.0,0.08,,,1
2024,K75,,,45-54,72.0,40780356.0,0.18,0.14,0.22,1
2024,K76,,M,,49.0,10712526.0,0.46,0.34,0.6,1
2024,K75,,A,,45.0,22825008.0,0.2,0.14,0.26,1
2024,K75,,,35-44,42.0,45539224.0,0.09,0.07,0.12,1
2024,C22,,,5-14,26.0,82197652.0,0.03,,,1
2024,K75,,,25-34,25.0,46453864.0,0.05,0.03,0.08,1
2024,C22,,,1-4,24.0,29967432.0,0.08,,,1
2024,K75,,1002-5,,20.0,4743298.0,0.42,0.26,0.65,1
2024,K76,,,15-24,17.0,44797761.0,0.04,0.02,0.06,1
2024,K76,,NHOPI,,15.0,939712.0,1.6,0.89,2.63,1
2024,K76,,,1,14.0,3615598.0,0.39,0.21,0.65,1
2024,C22,,,1,0.0,7231196.0,Suppressed,,,1
2024,K75,,,1-4,0.0,14983716.0,Suppressed,Suppressed,Suppressed,1
2024,K75,,,15-24,0.0,44797761.0,Suppressed,Suppressed,Suppressed,1
2024,K75,,M,,0.0,10712526.0,Suppressed,Suppressed,Suppressed,1
2024,K75,,NHOPI,,0.0,939712.0,Suppressed,Suppressed,Suppressed,1
2024,K76,,,14-May,0.0,41098826.0,Suppressed,Suppressed,Suppressed,1
2024,K76,,,4-Jan,0.0,14983716.0,Suppressed,Suppressed,Suppressed,1
